"NEGERI","year","week","No_of_dengue_case"
"PULAU PINANG",2010," 2",NA
"PERAK",2010," 2",NA
"SELANGOR",2010," 2",NA
"WPKL/PUTRAJAYA",2010," 2",NA
"N.SEMBILAN",2010," 2",NA
"MELAKA",2010," 2",NA
"JOHOR",2010," 2",NA
"PAHANG",2010," 2",NA
"TERENGGANU",2010," 2",NA
"KELANTAN",2010," 2",NA
"SARAWAK",2010," 2",NA
"SABAH",2010," 2",NA
"LABUAN",2010," 2",NA
"MALAYSIA",2010," 2",NA
"PERLIS",2011," 2","7"
"KEDAH",2011," 2","11"
"PULAU PINANG",2011," 2","46"
"PERAK",2011," 2","25"
"SELANGOR",2011," 2","213"
"WPKL/PUTRAJAYA",2011," 2","36"
"N.SEMBILAN",2011," 2","9"
"MELAKA",2011," 2","21"
"JOHOR",2011," 2","61"
"PAHANG",2011," 2","34"
"TERENGGANU",2011," 2","39"
"KELANTAN",2011," 2","23"
"SARAWAK",2011," 2","50"
"SABAH",2011," 2","20"
"LABUAN",2011," 2","1"
"MALAYSIA",2011," 2","596"
"PERLIS",2012," 2","5"
"KEDAH",2012," 2","22"
"PULAU PINANG",2012," 2","16"
"PERAK",2012," 2","39"
"SELANGOR",2012," 2","219"
"WPKL/PUTRAJAYA",2012," 2","46"
"N.SEMBILAN",2012," 2","8"
"MELAKA",2012," 2","12"
"JOHOR",2012," 2","39"
"PAHANG",2012," 2","18"
"TERENGGANU",2012," 2","10"
"KELANTAN",2012," 2","18"
"SARAWAK",2012," 2","17"
"SABAH",2012," 2","12"
"LABUAN",2012," 2","0"
"MALAYSIA",2012," 2","481"
"PERLIS",2013," 2","2"
"KEDAH",2013," 2","30"
"PULAU PINANG",2013," 2","21"
"PERAK",2013," 2","38"
"SELANGOR",2013," 2","271"
"WPKL/PUTRAJAYA",2013," 2","35"
"N.SEMBILAN",2013," 2","11"
"MELAKA",2013," 2","10"
"JOHOR",2013," 2","59"
"PAHANG",2013," 2","13"
"TERENGGANU",2013," 2","5"
"KELANTAN",2013," 2","27"
"SARAWAK",2013," 2","42"
"SABAH",2013," 2","25"
"LABUAN",2013," 2","0"
"MALAYSIA",2013," 2","589"
"PERLIS",2014," 2","6"
"KEDAH",2014," 2","25"
"PULAU PINANG",2014," 2","41"
"PERAK",2014," 2","249"
"SELANGOR",2014," 2","903"
"WPKL/PUTRAJAYA",2014," 2","244"
"N.SEMBILAN",2014," 2","100"
"MELAKA",2014," 2","67"
"JOHOR",2014," 2","169"
"PAHANG",2014," 2","14"
"TERENGGANU",2014," 2","33"
"KELANTAN",2014," 2","34"
"SARAWAK",2014," 2","31"
"SABAH",2014," 2","30"
"LABUAN",2014," 2","0"
"MALAYSIA",2014," 2","1946"
"PERLIS",2015," 2","10"
"KEDAH",2015," 2","24"
"PULAU PINANG",2015," 2","117"
"PERAK",2015," 2","387"
"SELANGOR",2015," 2","1627"
"WPKL/PUTRAJAYA",2015," 2","115"
"N.SEMBILAN",2015," 2","47"
"MELAKA",2015," 2","67"
"JOHOR",2015," 2","192"
"PAHANG",2015," 2","74"
"TERENGGANU",2015," 2","38"
"KELANTAN",2015," 2","79"
"SARAWAK",2015," 2","77"
"SABAH",2015," 2","59"
"LABUAN",2015," 2","0"
"MALAYSIA",2015," 2","2913"
"PERLIS",2010," 3",NA
"KEDAH",2010," 3",NA
"PULAU PINANG",2010," 3",NA
"PERAK",2010," 3",NA
"SELANGOR",2010," 3",NA
"WPKL/PUTRAJAYA",2010," 3",NA
"N.SEMBILAN",2010," 3",NA
"MELAKA",2010," 3",NA
"JOHOR",2010," 3",NA
"PAHANG",2010," 3",NA
"TERENGGANU",2010," 3",NA
"KELANTAN",2010," 3",NA
"SARAWAK",2010," 3",NA
"SABAH",2010," 3",NA
"LABUAN",2010," 3",NA
"MALAYSIA",2010," 3",NA
"PERLIS",2011," 3","3"
"KEDAH",2011," 3","9"
"PULAU PINANG",2011," 3","40"
"PERAK",2011," 3","40"
"SELANGOR",2011," 3","173"
"WPKL/PUTRAJAYA",2011," 3","28"
"N.SEMBILAN",2011," 3","12"
"MELAKA",2011," 3","8"
"JOHOR",2011," 3","49"
"PAHANG",2011," 3","26"
"TERENGGANU",2011," 3","35"
"KELANTAN",2011," 3","17"
"SARAWAK",2011," 3","31"
"SABAH",2011," 3","18"
"LABUAN",2011," 3","0"
"MALAYSIA",2011," 3","489"
"PERLIS",2012," 3","3"
"KEDAH",2012," 3","9"
"PULAU PINANG",2012," 3","17"
"PERAK",2012," 3","33"
"SELANGOR",2012," 3","192"
"WPKL/PUTRAJAYA",2012," 3","64"
"N.SEMBILAN",2012," 3","11"
"MELAKA",2012," 3","18"
"JOHOR",2012," 3","32"
"PAHANG",2012," 3","11"
"TERENGGANU",2012," 3","13"
"KELANTAN",2012," 3","31"
"SARAWAK",2012," 3","13"
"SABAH",2012," 3","11"
"LABUAN",2012," 3","1"
"MALAYSIA",2012," 3","459"
"PERLIS",2013," 3","2"
"KEDAH",2013," 3","12"
"PULAU PINANG",2013," 3","18"
"PERAK",2013," 3","42"
"SELANGOR",2013," 3","243"
"WPKL/PUTRAJAYA",2013," 3","19"
"N.SEMBILAN",2013," 3","11"
"MELAKA",2013," 3","10"
"JOHOR",2013," 3","54"
"PAHANG",2013," 3","11"
"TERENGGANU",2013," 3","5"
"KELANTAN",2013," 3","33"
"SARAWAK",2013," 3","67"
"SABAH",2013," 3","18"
"LABUAN",2013," 3","0"
"MALAYSIA",2013," 3","545"
"PERLIS",2014," 3","9"
"KEDAH",2014," 3","27"
"PULAU PINANG",2014," 3","53"
"PERAK",2014," 3","145"
"SELANGOR",2014," 3","1070"
"WPKL/PUTRAJAYA",2014," 3","262"
"N.SEMBILAN",2014," 3","112"
"MELAKA",2014," 3","105"
"JOHOR",2014," 3","188"
"PAHANG",2014," 3","20"
"TERENGGANU",2014," 3","22"
"KELANTAN",2014," 3","84"
"SARAWAK",2014," 3","24"
"SABAH",2014," 3","35"
"LABUAN",2014," 3","0"
"MALAYSIA",2014," 3","2156"
"PERLIS",2015," 3","8"
"KEDAH",2015," 3","35"
"PULAU PINANG",2015," 3","151"
"PERAK",2015," 3","347"
"SELANGOR",2015," 3","1651"
"WPKL/PUTRAJAYA",2015," 3","161"
"N.SEMBILAN",2015," 3","51"
"MELAKA",2015," 3","53"
"JOHOR",2015," 3","166"
"PAHANG",2015," 3","91"
"TERENGGANU",2015," 3","43"
"KELANTAN",2015," 3","75"
"SARAWAK",2015," 3","48"
"SABAH",2015," 3","76"
"LABUAN",2015," 3","0"
"MALAYSIA",2015," 3","2956"
"PERLIS",2010," 4",NA
"KEDAH",2010," 4",NA
"PULAU PINANG",2010," 4",NA
"PERAK",2010," 4",NA
"SELANGOR",2010," 4",NA
"WPKL/PUTRAJAYA",2010," 4",NA
"N.SEMBILAN",2010," 4",NA
"MELAKA",2010," 4",NA
"JOHOR",2010," 4",NA
"PAHANG",2010," 4",NA
"TERENGGANU",2010," 4",NA
"KELANTAN",2010," 4",NA
"SARAWAK",2010," 4",NA
"SABAH",2010," 4",NA
"LABUAN",2010," 4",NA
"MALAYSIA",2010," 4",NA
"PERLIS",2011," 4","4"
"KEDAH",2011," 4","20"
"PULAU PINANG",2011," 4","48"
"PERAK",2011," 4","41"
"SELANGOR",2011," 4","167"
"WPKL/PUTRAJAYA",2011," 4","32"
"N.SEMBILAN",2011," 4","20"
"MELAKA",2011," 4","10"
"JOHOR",2011," 4","44"
"PAHANG",2011," 4","28"
"TERENGGANU",2011," 4","18"
"KELANTAN",2011," 4","21"
"SARAWAK",2011," 4","24"
"SABAH",2011," 4","15"
"LABUAN",2011," 4","1"
"MALAYSIA",2011," 4","493"
"PERLIS",2012," 4","2"
"KEDAH",2012," 4","8"
"PULAU PINANG",2012," 4","25"
"PERAK",2012," 4","41"
"SELANGOR",2012," 4","217"
"WPKL/PUTRAJAYA",2012," 4","64"
"N.SEMBILAN",2012," 4","12"
"MELAKA",2012," 4","19"
"JOHOR",2012," 4","21"
"PAHANG",2012," 4","20"
"TERENGGANU",2012," 4","22"
"KELANTAN",2012," 4","14"
"SARAWAK",2012," 4","13"
"SABAH",2012," 4","10"
"LABUAN",2012," 4","0"
"MALAYSIA",2012," 4","488"
"PERLIS",2013," 4","4"
"KEDAH",2013," 4","13"
"PULAU PINANG",2013," 4","19"
"PERAK",2013," 4","47"
"SELANGOR",2013," 4","243"
"WPKL/PUTRAJAYA",2013," 4","21"
"N.SEMBILAN",2013," 4","9"
"MELAKA",2013," 4","10"
"JOHOR",2013," 4","52"
"PAHANG",2013," 4","9"
"TERENGGANU",2013," 4","6"
"KELANTAN",2013," 4","18"
"SARAWAK",2013," 4","51"
"SABAH",2013," 4","17"
"LABUAN",2013," 4","0"
"MALAYSIA",2013," 4","519"
"PERLIS",2014," 4","8"
"KEDAH",2014," 4","17"
"PULAU PINANG",2014," 4","57"
"PERAK",2014," 4","138"
"SELANGOR",2014," 4","1201"
"WPKL/PUTRAJAYA",2014," 4","188"
"N.SEMBILAN",2014," 4","145"
"MELAKA",2014," 4","77"
"JOHOR",2014," 4","174"
"PAHANG",2014," 4","40"
"TERENGGANU",2014," 4","31"
"KELANTAN",2014," 4","97"
"SARAWAK",2014," 4","15"
"SABAH",2014," 4","38"
"LABUAN",2014," 4","3"
"MALAYSIA",2014," 4","2229"
"PERLIS",2015," 4","18"
"KEDAH",2015," 4","21"
"PULAU PINANG",2015," 4","189"
"PERAK",2015," 4","329"
"SELANGOR",2015," 4","2002"
"WPKL/PUTRAJAYA",2015," 4","225"
"N.SEMBILAN",2015," 4","68"
"MELAKA",2015," 4","69"
"JOHOR",2015," 4","215"
"PAHANG",2015," 4","66"
"TERENGGANU",2015," 4","62"
"KELANTAN",2015," 4","59"
"SARAWAK",2015," 4","87"
"SABAH",2015," 4","90"
"LABUAN",2015," 4","0"
"MALAYSIA",2015," 4","3500"
"PERLIS",2010," 5",NA
"KEDAH",2010," 5",NA
"PULAU PINANG",2010," 5",NA
"PERAK",2010," 5",NA
"SELANGOR",2010," 5",NA
"WPKL/PUTRAJAYA",2010," 5",NA
"N.SEMBILAN",2010," 5",NA
"MELAKA",2010," 5",NA
"JOHOR",2010," 5",NA
"PAHANG",2010," 5",NA
"TERENGGANU",2010," 5",NA
"KELANTAN",2010," 5",NA
"SARAWAK",2010," 5",NA
"SABAH",2010," 5",NA
"LABUAN",2010," 5",NA
"MALAYSIA",2010," 5",NA
"PERLIS",2011," 5","0"
"KEDAH",2011," 5","13"
"PULAU PINANG",2011," 5","24"
"PERAK",2011," 5","18"
"SELANGOR",2011," 5","144"
"WPKL/PUTRAJAYA",2011," 5","22"
"N.SEMBILAN",2011," 5","18"
"MELAKA",2011," 5","3"
"JOHOR",2011," 5","35"
"PAHANG",2011," 5","21"
"TERENGGANU",2011," 5","18"
"KELANTAN",2011," 5","20"
"SARAWAK",2011," 5","25"
"SABAH",2011," 5","10"
"LABUAN",2011," 5","1"
"MALAYSIA",2011," 5","372"
"PERLIS",2012," 5","3"
"KEDAH",2012," 5","27"
"PULAU PINANG",2012," 5","21"
"PERAK",2012," 5","36"
"SELANGOR",2012," 5","237"
"WPKL/PUTRAJAYA",2012," 5","60"
"N.SEMBILAN",2012," 5","7"
"MELAKA",2012," 5","14"
"JOHOR",2012," 5","33"
"PAHANG",2012," 5","20"
"TERENGGANU",2012," 5","19"
"KELANTAN",2012," 5","30"
"SARAWAK",2012," 5","28"
"SABAH",2012," 5","10"
"LABUAN",2012," 5","0"
"MALAYSIA",2012," 5","545"
"PERLIS",2013," 5","4"
"KEDAH",2013," 5","12"
"PULAU PINANG",2013," 5","12"
"PERAK",2013," 5","45"
"SELANGOR",2013," 5","199"
"WPKL/PUTRAJAYA",2013," 5","25"
"N.SEMBILAN",2013," 5","9"
"MELAKA",2013," 5","11"
"JOHOR",2013," 5","38"
"PAHANG",2013," 5","15"
"TERENGGANU",2013," 5","2"
"KELANTAN",2013," 5","19"
"SARAWAK",2013," 5","44"
"SABAH",2013," 5","26"
"LABUAN",2013," 5","0"
"MALAYSIA",2013," 5","461"
"PERLIS",2014," 5",NA
"KEDAH",2014," 5",NA
"PULAU PINANG",2014," 5",NA
"PERAK",2014," 5",NA
"SELANGOR",2014," 5",NA
"WPKL/PUTRAJAYA",2014," 5",NA
"N.SEMBILAN",2014," 5",NA
"MELAKA",2014," 5",NA
"JOHOR",2014," 5",NA
"PAHANG",2014," 5",NA
"TERENGGANU",2014," 5",NA
"KELANTAN",2014," 5",NA
"SARAWAK",2014," 5",NA
"SABAH",2014," 5",NA
"LABUAN",2014," 5",NA
"MALAYSIA",2014," 5","MISSING"
"PERLIS",2015," 5","17"
"KEDAH",2015," 5","25"
"PULAU PINANG",2015," 5","144"
"PERAK",2015," 5","323"
"SELANGOR",2015," 5","1754"
"WPKL/PUTRAJAYA",2015," 5","140"
"N.SEMBILAN",2015," 5","35"
"MELAKA",2015," 5","55"
"JOHOR",2015," 5","189"
"PAHANG",2015," 5","106"
"TERENGGANU",2015," 5","46"
"KELANTAN",2015," 5","59"
"SARAWAK",2015," 5","55"
"SABAH",2015," 5","89"
"LABUAN",2015," 5","0"
"MALAYSIA",2015," 5","3037"
"PERLIS",2010," 6",NA
"KEDAH",2010," 6",NA
"PULAU PINANG",2010," 6",NA
"PERAK",2010," 6",NA
"SELANGOR",2010," 6",NA
"WPKL/PUTRAJAYA",2010," 6",NA
"N.SEMBILAN",2010," 6",NA
"MELAKA",2010," 6",NA
"JOHOR",2010," 6",NA
"PAHANG",2010," 6",NA
"TERENGGANU",2010," 6",NA
"KELANTAN",2010," 6",NA
"SARAWAK",2010," 6",NA
"SABAH",2010," 6",NA
"LABUAN",2010," 6",NA
"MALAYSIA",2010," 6",NA
"PERLIS",2011," 6","2"
"KEDAH",2011," 6","13"
"PULAU PINANG",2011," 6","33"
"PERAK",2011," 6","31"
"SELANGOR",2011," 6","137"
"WPKL/PUTRAJAYA",2011," 6","28"
"N.SEMBILAN",2011," 6","11"
"MELAKA",2011," 6","6"
"JOHOR",2011," 6","50"
"PAHANG",2011," 6","25"
"TERENGGANU",2011," 6","16"
"KELANTAN",2011," 6","16"
"SARAWAK",2011," 6","17"
"SABAH",2011," 6","6"
"LABUAN",2011," 6","0"
"MALAYSIA",2011," 6","391"
"PERLIS",2012," 6","5"
"KEDAH",2012," 6","17"
"PULAU PINANG",2012," 6","20"
"PERAK",2012," 6","39"
"SELANGOR",2012," 6","230"
"WPKL/PUTRAJAYA",2012," 6","49"
"N.SEMBILAN",2012," 6","6"
"MELAKA",2012," 6","15"
"JOHOR",2012," 6","29"
"PAHANG",2012," 6","10"
"TERENGGANU",2012," 6","46"
"KELANTAN",2012," 6","16"
"SARAWAK",2012," 6","19"
"SABAH",2012," 6","12"
"LABUAN",2012," 6","0"
"MALAYSIA",2012," 6","513"
"PERLIS",2013," 6","4"
"KEDAH",2013," 6","19"
"PULAU PINANG",2013," 6","11"
"PERAK",2013," 6","41"
"SELANGOR",2013," 6","213"
"WPKL/PUTRAJAYA",2013," 6","33"
"N.SEMBILAN",2013," 6","6"
"MELAKA",2013," 6","12"
"JOHOR",2013," 6","38"
"PAHANG",2013," 6","13"
"TERENGGANU",2013," 6","5"
"KELANTAN",2013," 6","29"
"SARAWAK",2013," 6","46"
"SABAH",2013," 6","23"
"LABUAN",2013," 6","0"
"MALAYSIA",2013," 6","493"
"PERLIS",2014," 6","6"
"KEDAH",2014," 6","17"
"PULAU PINANG",2014," 6","37"
"PERAK",2014," 6","130"
"SELANGOR",2014," 6","1317"
"WPKL/PUTRAJAYA",2014," 6","217"
"N.SEMBILAN",2014," 6","122"
"MELAKA",2014," 6","72"
"JOHOR",2014," 6","109"
"PAHANG",2014," 6","16"
"TERENGGANU",2014," 6","10"
"KELANTAN",2014," 6","100"
"SARAWAK",2014," 6","27"
"SABAH",2014," 6","17"
"LABUAN",2014," 6","0"
"MALAYSIA",2014," 6","2197"
"PERLIS",2015," 6","9"
"KEDAH",2015," 6","30"
"PULAU PINANG",2015," 6","177"
"PERAK",2015," 6","321"
"SELANGOR",2015," 6","2033"
"WPKL/PUTRAJAYA",2015," 6","150"
"N.SEMBILAN",2015," 6","43"
"MELAKA",2015," 6","57"
"JOHOR",2015," 6","153"
"PAHANG",2015," 6","62"
"TERENGGANU",2015," 6","46"
"KELANTAN",2015," 6","63"
"SARAWAK",2015," 6","62"
"SABAH",2015," 6","105"
"LABUAN",2015," 6","1"
"MALAYSIA",2015," 6","3312"
"PERLIS",2010," 7",NA
"KEDAH",2010," 7",NA
"PULAU PINANG",2010," 7",NA
"PERAK",2010," 7",NA
"SELANGOR",2010," 7",NA
"WPKL/PUTRAJAYA",2010," 7",NA
"N.SEMBILAN",2010," 7",NA
"MELAKA",2010," 7",NA
"JOHOR",2010," 7",NA
"PAHANG",2010," 7",NA
"TERENGGANU",2010," 7",NA
"KELANTAN",2010," 7",NA
"SARAWAK",2010," 7",NA
"SABAH",2010," 7",NA
"LABUAN",2010," 7",NA
"MALAYSIA",2010," 7",NA
"PERLIS",2011," 7","1"
"KEDAH",2011," 7","9"
"PULAU PINANG",2011," 7","32"
"PERAK",2011," 7","16"
"SELANGOR",2011," 7","136"
"WPKL/PUTRAJAYA",2011," 7","39"
"N.SEMBILAN",2011," 7","10"
"MELAKA",2011," 7","13"
"JOHOR",2011," 7","62"
"PAHANG",2011," 7","17"
"TERENGGANU",2011," 7","28"
"KELANTAN",2011," 7","17"
"SARAWAK",2011," 7","25"
"SABAH",2011," 7","15"
"LABUAN",2011," 7","0"
"MALAYSIA",2011," 7","420"
"PERLIS",2012," 7","4"
"KEDAH",2012," 7","12"
"PULAU PINANG",2012," 7","21"
"PERAK",2012," 7","35"
"SELANGOR",2012," 7","274"
"WPKL/PUTRAJAYA",2012," 7","42"
"N.SEMBILAN",2012," 7","8"
"MELAKA",2012," 7","18"
"JOHOR",2012," 7","33"
"PAHANG",2012," 7","16"
"TERENGGANU",2012," 7","20"
"KELANTAN",2012," 7","57"
"SARAWAK",2012," 7","31"
"SABAH",2012," 7","14"
"LABUAN",2012," 7","0"
"MALAYSIA",2012," 7","585"
"PERLIS",2013," 7","2"
"KEDAH",2013," 7","14"
"PULAU PINANG",2013," 7","17"
"PERAK",2013," 7","29"
"SELANGOR",2013," 7","176"
"WPKL/PUTRAJAYA",2013," 7","18"
"N.SEMBILAN",2013," 7","6"
"MELAKA",2013," 7","7"
"JOHOR",2013," 7","33"
"PAHANG",2013," 7","15"
"TERENGGANU",2013," 7","4"
"KELANTAN",2013," 7","28"
"SARAWAK",2013," 7","45"
"SABAH",2013," 7","14"
"LABUAN",2013," 7","0"
"MALAYSIA",2013," 7","408"
"PERLIS",2014," 7","5"
"KEDAH",2014," 7","21"
"PULAU PINANG",2014," 7","54"
"PERAK",2014," 7","146"
"SELANGOR",2014," 7","1296"
"WPKL/PUTRAJAYA",2014," 7","178"
"N.SEMBILAN",2014," 7","122"
"MELAKA",2014," 7","82"
"JOHOR",2014," 7","129"
"PAHANG",2014," 7","40"
"TERENGGANU",2014," 7","21"
"KELANTAN",2014," 7","120"
"SARAWAK",2014," 7","30"
"SABAH",2014," 7","21"
"LABUAN",2014," 7","0"
"MALAYSIA",2014," 7","2265"
"PERLIS",2015," 7","9"
"KEDAH",2015," 7","13"
"PULAU PINANG",2015," 7","102"
"PERAK",2015," 7","249"
"SELANGOR",2015," 7","1954"
"WPKL/PUTRAJAYA",2015," 7","140"
"N.SEMBILAN",2015," 7","50"
"MELAKA",2015," 7","34"
"JOHOR",2015," 7","126"
"PAHANG",2015," 7","65"
"TERENGGANU",2015," 7","32"
"KELANTAN",2015," 7","37"
"SARAWAK",2015," 7","45"
"SABAH",2015," 7","103"
"LABUAN",2015," 7","0"
"MALAYSIA",2015," 7","2959"
"PERLIS",2010," 8","2"
"KEDAH",2010," 8","4"
"PULAU PINANG",2010," 8","34"
"PERAK",2010," 8","36"
"SELANGOR",2010," 8","583"
"WPKL/PUTRAJAYA",2010," 8","116"
"N.SEMBILAN",2010," 8","50"
"MELAKA",2010," 8","7"
"JOHOR",2010," 8","50"
"PAHANG",2010," 8","31"
"TERENGGANU",2010," 8","28"
"KELANTAN",2010," 8","18"
"SARAWAK",2010," 8","114"
"SABAH",2010," 8","48"
"LABUAN",2010," 8","0"
"MALAYSIA",2010," 8","1121"
"PERLIS",2011," 8","0"
"KEDAH",2011," 8","9"
"PULAU PINANG",2011," 8","35"
"PERAK",2011," 8","31"
"SELANGOR",2011," 8","162"
"WPKL/PUTRAJAYA",2011," 8","37"
"N.SEMBILAN",2011," 8","12"
"MELAKA",2011," 8","12"
"JOHOR",2011," 8","45"
"PAHANG",2011," 8","25"
"TERENGGANU",2011," 8","19"
"KELANTAN",2011," 8","14"
"SARAWAK",2011," 8","16"
"SABAH",2011," 8","13"
"LABUAN",2011," 8","0"
"MALAYSIA",2011," 8","430"
"PERLIS",2012," 8","3"
"KEDAH",2012," 8","12"
"PULAU PINANG",2012," 8","19"
"PERAK",2012," 8","53"
"SELANGOR",2012," 8","273"
"WPKL/PUTRAJAYA",2012," 8","61"
"N.SEMBILAN",2012," 8","11"
"MELAKA",2012," 8","12"
"JOHOR",2012," 8","34"
"PAHANG",2012," 8","23"
"TERENGGANU",2012," 8","24"
"KELANTAN",2012," 8","39"
"SARAWAK",2012," 8","27"
"SABAH",2012," 8","10"
"LABUAN",2012," 8","1"
"MALAYSIA",2012," 8","602"
"PERLIS",2013," 8","6"
"KEDAH",2013," 8","20"
"PULAU PINANG",2013," 8","19"
"PERAK",2013," 8","38"
"SELANGOR",2013," 8","216"
"WPKL/PUTRAJAYA",2013," 8","33"
"N.SEMBILAN",2013," 8","7"
"MELAKA",2013," 8","7"
"JOHOR",2013," 8","34"
"PAHANG",2013," 8","10"
"TERENGGANU",2013," 8","3"
"KELANTAN",2013," 8","27"
"SARAWAK",2013," 8","48"
"SABAH",2013," 8","9"
"LABUAN",2013," 8","0"
"MALAYSIA",2013," 8","477"
"PERLIS",2014," 8","2"
"KEDAH",2014," 8","15"
"PULAU PINANG",2014," 8","28"
"PERAK",2014," 8","167"
"SELANGOR",2014," 8","1429"
"WPKL/PUTRAJAYA",2014," 8","166"
"N.SEMBILAN",2014," 8","208"
"MELAKA",2014," 8","89"
"JOHOR",2014," 8","121"
"PAHANG",2014," 8","36"
"TERENGGANU",2014," 8","16"
"KELANTAN",2014," 8","125"
"SARAWAK",2014," 8","34"
"SABAH",2014," 8","32"
"LABUAN",2014," 8","0"
"MALAYSIA",2014," 8","2468"
"PERLIS",2015," 8",NA
"KEDAH",2015," 8",NA
"PULAU PINANG",2015," 8",NA
"PERAK",2015," 8",NA
"SELANGOR",2015," 8",NA
"WPKL/PUTRAJAYA",2015," 8",NA
"N.SEMBILAN",2015," 8",NA
"MELAKA",2015," 8",NA
"JOHOR",2015," 8",NA
"PAHANG",2015," 8",NA
"TERENGGANU",2015," 8",NA
"KELANTAN",2015," 8",NA
"SARAWAK",2015," 8",NA
"SABAH",2015," 8",NA
"LABUAN",2015," 8",NA
"MALAYSIA",2015," 8","0"
"PERLIS",2010," 9","4"
"KEDAH",2010," 9","14"
"PULAU PINANG",2010," 9","23"
"PERAK",2010," 9","65"
"SELANGOR",2010," 9","496"
"WPKL/PUTRAJAYA",2010," 9","154"
"N.SEMBILAN",2010," 9","31"
"MELAKA",2010," 9","4"
"JOHOR",2010," 9","45"
"PAHANG",2010," 9","38"
"TERENGGANU",2010," 9","23"
"KELANTAN",2010," 9","28"
"SARAWAK",2010," 9","100"
"SABAH",2010," 9","49"
"LABUAN",2010," 9","0"
"MALAYSIA",2010," 9","1074"
"PERLIS",2011," 9","0"
"KEDAH",2011," 9","12"
"PULAU PINANG",2011," 9","29"
"PERAK",2011," 9","17"
"SELANGOR",2011," 9","137"
"WPKL/PUTRAJAYA",2011," 9","33"
"N.SEMBILAN",2011," 9","15"
"MELAKA",2011," 9","19"
"JOHOR",2011," 9","42"
"PAHANG",2011," 9","27"
"TERENGGANU",2011," 9","15"
"KELANTAN",2011," 9","13"
"SARAWAK",2011," 9","24"
"SABAH",2011," 9","10"
"LABUAN",2011," 9","0"
"MALAYSIA",2011," 9","393"
"PERLIS",2012," 9","6"
"KEDAH",2012," 9","19"
"PULAU PINANG",2012," 9","10"
"PERAK",2012," 9","32"
